date,description,category,amount,type
2020-05-12,Grocery Shopping,Shopping,1318.17,Expense
2020-05-13,Pharmacy Purchase,Health & Fitness,1870.07,Expense
2020-05-14,Gym Membership,Health & Fitness,484.99,Expense
2020-05-15,Train Ticket,Travel,919.88,Expense
2020-05-16,Apartment Rent,Rent,28.54,Expense
2020-05-17,Monthly Rent,Rent,155.79,Expense
2020-05-19,Taxi Fare,Travel,273.59,Expense
2020-05-20,Apartment Rent,Rent,1759.75,Expense
2020-05-21,Internet Bill,Utilities,881.99,Expense
2020-05-25,Bus Travel,Travel,1227.24,Expense
2020-05-27,Cafe Visit,Food & Drink,1339.05,Expense
2020-05-28,Monthly Rent,Rent,1878.47,Expense
2020-05-30,Electricity Bill,Utilities,551.97,Expense
2020-05-31,Pharmacy Purchase,Health & Fitness,415.16,Expense
2020-05-31,Bus Travel,Travel,1015.76,Expense
2020-06-01,Breakfast,Food & Drink,193.67,Expense
2020-06-02,Train Ticket,Travel,97.73,Expense
2020-06-05,Electricity Bill,Utilities,1277.86,Expense
2020-06-06,Monthly Salary,Salary,1107.84,Expense
2020-06-07,Lunch Outside,Food & Drink,232.63,Expense
2020-06-08,Water Bill,Utilities,1095.72,Expense
2020-06-09,Gas Bill,Utilities,865.28,Expense
2020-06-10,Concert Ticket,Entertainment,1367.31,Expense
2020-06-10,Medical Expense,Health & Fitness,1562.43,Expense
2020-06-11,Clothing Purchase,Shopping,1947.94,Expense
2020-06-11,Gaming Purchase,Entertainment,1730.57,Expense
2020-06-12,Water Bill,Utilities,1764.02,Expense
2020-06-15,Netflix Subscription,Entertainment,540.94,Expense
2020-06-18,Monthly Rent,Rent,771.26,Expense
2020-06-19,Netflix Subscription,Entertainment,453.62,Expense
2020-06-19,Clothing Purchase,Shopping,663.24,Expense
2020-06-21,Taxi Fare,Travel,708.78,Expense
2020-06-21,Gym Membership,Health & Fitness,1879.08,Expense
2020-06-22,Taxi Fare,Travel,86.13,Expense
2020-06-24,Medical Expense,Health & Fitness,1459.8,Expense
2020-06-30,Apartment Rent,Rent,776.54,Expense
2020-06-30,Bus Travel,Travel,98.33,Expense
2020-07-02,Netflix Subscription,Entertainment,734.8,Expense
2020-07-04,Apartment Rent,Rent,1442.31,Expense
2020-07-05,Taxi Fare,Travel,1337.12,Expense
2020-07-06,Taxi Fare,Travel,1113.28,Expense
2020-07-08,Taxi Fare,Travel,818.09,Expense
2020-07-11,Taxi Fare,Travel,580.96,Expense
2020-07-12,Gym Membership,Health & Fitness,935.33,Expense
2020-07-12,Netflix Subscription,Entertainment,1027.24,Expense
2020-07-13,Internet Bill,Utilities,1321.11,Expense
2020-07-17,Gym Membership,Health & Fitness,195.84,Expense
2020-07-20,Concert Ticket,Entertainment,1348.86,Expense
2020-07-21,Gaming Purchase,Entertainment,303.23,Expense
2020-07-22,Netflix Subscription,Entertainment,1439.51,Expense
2020-07-22,Amazon Purchase,Shopping,495.53,Expense
2020-07-22,Lunch Outside,Food & Drink,1786.39,Expense
2020-07-23,Apartment Rent,Rent,1559.06,Expense
2020-07-24,Employer Deposit,Salary,109.93,Expense
2020-07-28,Apartment Rent,Rent,918.36,Expense
2020-07-28,Medical Expense,Health & Fitness,1900.58,Expense
2020-07-29,Grocery Shopping,Shopping,1662.83,Expense
2020-07-30,Electricity Bill,Utilities,1489.87,Expense
2020-07-31,Bus Travel,Travel,1506.04,Expense
2020-08-01,Taxi Fare,Travel,1533.97,Expense
2020-08-01,Concert Ticket,Entertainment,556.45,Expense
2020-08-02,Pharmacy Purchase,Health & Fitness,1787.12,Expense
2020-08-04,Internet Bill,Utilities,1415.77,Expense
2020-08-04,Amazon Purchase,Shopping,133.91,Expense
2020-08-05,Amazon Purchase,Shopping,1810.63,Expense
2020-08-05,Food Delivery,Food & Drink,1714.9,Expense
2020-08-06,Clothing Purchase,Shopping,959.19,Expense
2020-08-08,Train Ticket,Travel,1509.42,Expense
2020-08-08,Amazon Purchase,Shopping,1081.06,Expense
2020-08-09,Movie Tickets,Entertainment,981.58,Expense
2020-08-13,Employer Deposit,Salary,67.76,Expense
2020-08-14,Grocery Shopping,Shopping,1451.12,Expense
2020-08-16,Water Bill,Utilities,1961.64,Expense
2020-08-17,Grocery Shopping,Shopping,1187.87,Expense
2020-08-18,House Rent,Rent,1289.07,Expense
2020-08-21,Medical Expense,Health & Fitness,681.63,Expense
2020-08-21,Taxi Fare,Travel,1506.5,Expense
2020-08-22,Bus Travel,Travel,1671.47,Expense
2020-08-22,Breakfast,Food & Drink,1999.82,Expense
2020-08-26,House Rent,Rent,1564.65,Expense
2020-08-27,Food Delivery,Food & Drink,1899.73,Expense
2020-08-29,Salary Credit,Salary,1342.22,Expense
2020-08-30,Gaming Purchase,Entertainment,935.42,Expense
2020-08-31,Pharmacy Purchase,Health & Fitness,343.9,Expense
2020-09-01,Apartment Rent,Rent,1557.81,Expense
2020-09-05,Uber Ride,Travel,1155.84,Expense
2020-09-06,Mall Shopping,Shopping,799.34,Expense
2020-09-07,House Rent,Rent,1188.27,Expense
2020-09-08,Gaming Purchase,Entertainment,212.78,Expense
2020-09-11,House Rent,Rent,1594.49,Expense
2020-09-11,Restaurant Dinner,Food & Drink,700.94,Expense
2020-09-11,Health Checkup,Health & Fitness,147.22,Expense
2020-09-16,Breakfast,Food & Drink,1700.66,Expense
2020-09-17,Monthly Rent,Rent,872.71,Expense
2020-09-17,Employer Deposit,Salary,1417.54,Expense
2020-09-18,Bus Travel,Travel,1235.67,Expense
2020-09-18,Employer Deposit,Salary,935.1,Expense
2020-09-22,Uber Ride,Travel,651.39,Expense
2020-09-22,Monthly Rent,Rent,565.07,Expense
2020-09-22,Monthly Salary,Salary,1144.0,Expense
2020-09-23,Pharmacy Purchase,Health & Fitness,67.11,Expense
2020-09-23,Gas Bill,Utilities,980.22,Expense
2020-09-25,Bus Travel,Travel,687.27,Expense
2020-09-27,Train Ticket,Travel,1116.02,Expense
2020-09-27,Netflix Subscription,Entertainment,180.37,Expense
2020-09-27,Monthly Salary,Salary,1114.8,Expense
2020-09-29,Monthly Salary,Salary,1295.35,Expense
2020-09-30,Food Delivery,Food & Drink,195.18,Expense
2020-10-01,Concert Ticket,Entertainment,619.35,Expense
2020-10-03,Employer Deposit,Salary,1111.41,Expense
2020-10-04,Pharmacy Purchase,Health & Fitness,710.1,Expense
2020-10-07,Uber Ride,Travel,510.29,Expense
2020-10-08,Employer Deposit,Salary,560.23,Expense
2020-10-08,Train Ticket,Travel,1961.22,Expense
2020-10-10,Train Ticket,Travel,462.69,Expense
2020-10-12,Electricity Bill,Utilities,1279.36,Expense
2020-10-14,Monthly Rent,Rent,1746.71,Expense
2020-10-15,Monthly Salary,Salary,962.64,Expense
2020-10-16,Restaurant Dinner,Food & Drink,512.43,Expense
2020-10-16,Monthly Rent,Rent,1646.01,Expense
2020-10-16,Monthly Rent,Rent,1158.27,Expense
2020-10-18,Gas Bill,Utilities,306.9,Expense
2020-10-19,Train Ticket,Travel,179.51,Expense
2020-10-23,Mall Shopping,Shopping,1216.57,Expense
2020-10-24,Concert Ticket,Entertainment,1553.63,Expense
2020-10-26,Monthly Salary,Salary,601.73,Expense
2020-10-27,Mall Shopping,Shopping,617.71,Expense
2020-10-27,House Rent,Rent,1895.7,Expense
2020-10-27,Movie Tickets,Entertainment,536.65,Expense
2020-10-29,Electricity Bill,Utilities,15.32,Expense
2020-10-30,Employer Deposit,Salary,589.61,Expense
2020-10-31,Train Ticket,Travel,1408.95,Expense
2020-11-01,Netflix Subscription,Entertainment,1848.58,Expense
2020-11-01,Gaming Purchase,Entertainment,856.03,Expense
2020-11-02,Gas Bill,Utilities,1817.74,Expense
2020-11-04,House Rent,Rent,128.68,Expense
2020-11-06,Train Ticket,Travel,883.92,Expense
2020-11-07,Uber Ride,Travel,1402.47,Expense
2020-11-09,Monthly Salary,Salary,881.14,Expense
2020-11-10,Amazon Purchase,Shopping,1471.72,Expense
2020-11-10,Food Delivery,Food & Drink,191.74,Expense
2020-11-12,Breakfast,Food & Drink,1999.15,Expense
2020-11-12,Bus Travel,Travel,1156.73,Expense
2020-11-14,Water Bill,Utilities,946.3,Expense
2020-11-14,Train Ticket,Travel,371.16,Expense
2020-11-14,Salary Credit,Salary,1938.42,Expense
2020-11-14,Grocery Shopping,Shopping,673.28,Expense
2020-11-15,Internet Bill,Utilities,666.31,Expense
2020-11-15,Train Ticket,Travel,1328.54,Expense
2020-11-16,Lunch Outside,Food & Drink,915.1,Expense
2020-11-16,Pharmacy Purchase,Health & Fitness,240.68,Expense
2020-11-17,Food Delivery,Food & Drink,1318.74,Expense
2020-11-20,Clothing Purchase,Shopping,117.87,Expense
2020-11-22,Employer Deposit,Salary,1254.56,Expense
2020-11-23,Netflix Subscription,Entertainment,541.44,Expense
2020-11-25,Salary Credit,Salary,251.64,Expense
2020-11-26,Netflix Subscription,Entertainment,1422.47,Expense
2020-11-27,Lunch Outside,Food & Drink,1108.98,Expense
2020-11-29,Electricity Bill,Utilities,1001.77,Expense
2020-12-01,Uber Ride,Travel,836.83,Expense
2020-12-05,Salary Credit,Salary,495.02,Expense
2020-12-05,Amazon Purchase,Shopping,389.31,Expense
2020-12-06,Mobile Recharge,Utilities,1729.41,Expense
2020-12-10,Clothing Purchase,Shopping,686.35,Expense
2020-12-10,Bus Travel,Travel,1642.89,Expense
2020-12-11,Taxi Fare,Travel,1676.58,Expense
2020-12-12,Salary Credit,Salary,1731.87,Expense
2020-12-13,Salary Credit,Salary,696.8,Expense
2020-12-14,Grocery Shopping,Shopping,916.14,Expense
2020-12-14,Concert Ticket,Entertainment,1961.74,Expense
2020-12-16,Clothing Purchase,Shopping,474.79,Expense
2020-12-16,Cafe Visit,Food & Drink,643.17,Expense
2020-12-16,Amazon Purchase,Shopping,778.3,Expense
2020-12-18,Water Bill,Utilities,995.7,Expense
2020-12-20,Salary Credit,Salary,208.43,Expense
2020-12-20,Restaurant Dinner,Food & Drink,1447.66,Expense
2020-12-22,Internet Bill,Utilities,158.91,Expense
2020-12-23,Taxi Fare,Travel,683.74,Expense
2020-12-23,House Rent,Rent,1705.01,Expense
2020-12-24,Mall Shopping,Shopping,1908.74,Expense
2020-12-25,Salary Credit,Salary,1746.04,Expense
2020-12-28,Uber Ride,Travel,1994.88,Expense
2020-12-30,Clothing Purchase,Shopping,1956.89,Expense
2020-12-31,Apartment Rent,Rent,892.92,Expense
2021-01-01,Lunch Outside,Food & Drink,101.52,Expense
2021-01-06,Train Ticket,Travel,723.34,Expense
2021-01-06,Gaming Purchase,Entertainment,1067.02,Expense
2021-01-08,Internet Bill,Utilities,348.27,Expense
2021-01-10,Mobile Recharge,Utilities,472.06,Expense
2021-01-11,Salary Credit,Salary,518.1,Expense
2021-01-13,Electricity Bill,Utilities,156.99,Expense
2021-01-13,Train Ticket,Travel,1281.49,Expense
2021-01-14,Taxi Fare,Travel,919.1,Expense
2021-01-14,Clothing Purchase,Shopping,1708.14,Expense
2021-01-15,Bus Travel,Travel,53.66,Expense
2021-01-17,Grocery Shopping,Shopping,556.22,Expense
2021-01-17,Restaurant Dinner,Food & Drink,1822.13,Expense
2021-01-19,Bus Travel,Travel,1553.72,Expense
2021-01-20,Pharmacy Purchase,Health & Fitness,445.82,Expense
2021-01-26,Cafe Visit,Food & Drink,624.78,Expense
2021-01-27,Medical Expense,Health & Fitness,1467.4,Expense
2021-01-27,Gas Bill,Utilities,409.58,Expense
2021-01-27,Pharmacy Purchase,Health & Fitness,1066.4,Expense
2021-01-29,Mobile Recharge,Utilities,521.37,Expense
2021-02-02,Monthly Salary,Salary,1935.09,Expense
2021-02-05,Pharmacy Purchase,Health & Fitness,1610.42,Expense
2021-02-05,Monthly Rent,Rent,290.11,Expense
2021-02-08,Clothing Purchase,Shopping,1934.87,Expense
2021-02-08,Health Checkup,Health & Fitness,189.7,Expense
2021-02-09,Uber Ride,Travel,1077.78,Expense
2021-02-09,Bus Travel,Travel,1173.27,Expense
2021-02-11,Medical Expense,Health & Fitness,225.61,Expense
2021-02-11,Food Delivery,Food & Drink,1242.9,Expense
2021-02-13,Pharmacy Purchase,Health & Fitness,1831.36,Expense
2021-02-16,Apartment Rent,Rent,1274.45,Expense
2021-02-18,Uber Ride,Travel,1301.99,Expense
2021-02-20,Monthly Salary,Salary,241.08,Expense
2021-02-21,Gas Bill,Utilities,783.41,Expense
2021-02-23,Mall Shopping,Shopping,1178.81,Expense
2021-02-24,Clothing Purchase,Shopping,1313.29,Expense
2021-02-27,Mall Shopping,Shopping,1878.72,Expense
2021-02-28,Gym Membership,Health & Fitness,442.37,Expense
2021-03-02,Netflix Subscription,Entertainment,1712.35,Expense
2021-03-02,Health Checkup,Health & Fitness,130.49,Expense
2021-03-04,Monthly Rent,Rent,1898.53,Expense
2021-03-05,House Rent,Rent,1328.91,Expense
2021-03-05,Lunch Outside,Food & Drink,110.65,Expense
2021-03-07,Gas Bill,Utilities,1576.09,Expense
2021-03-07,Movie Tickets,Entertainment,1176.9,Expense
2021-03-08,Netflix Subscription,Entertainment,663.83,Expense
2021-03-09,Electricity Bill,Utilities,1975.18,Expense
2021-03-10,Water Bill,Utilities,228.75,Expense
2021-03-12,Electricity Bill,Utilities,39.57,Expense
2021-03-15,Movie Tickets,Entertainment,1181.82,Expense
2021-03-17,Medical Expense,Health & Fitness,1031.34,Expense
2021-03-18,Bus Travel,Travel,921.5,Expense
2021-03-19,Restaurant Dinner,Food & Drink,1997.19,Expense
2021-03-20,Mall Shopping,Shopping,1375.33,Expense
2021-03-21,Salary Credit,Salary,156.25,Expense
2021-03-22,Taxi Fare,Travel,912.89,Expense
2021-03-23,House Rent,Rent,1588.26,Expense
2021-03-24,Netflix Subscription,Entertainment,833.49,Expense
2021-03-25,Grocery Shopping,Shopping,837.82,Expense
2021-03-27,Pharmacy Purchase,Health & Fitness,1907.65,Expense
2021-03-28,Employer Deposit,Salary,143.6,Expense
2021-03-29,Monthly Rent,Rent,869.43,Expense
2021-03-30,Pharmacy Purchase,Health & Fitness,1625.42,Expense
2021-04-01,Medical Expense,Health & Fitness,1343.33,Expense
2021-04-02,Amazon Purchase,Shopping,1737.5,Expense
2021-04-03,Taxi Fare,Travel,1204.82,Expense
2021-04-03,Concert Ticket,Entertainment,317.91,Expense
2021-04-03,Monthly Rent,Rent,706.73,Expense
2021-04-08,Monthly Rent,Rent,1527.59,Expense
2021-04-08,Grocery Shopping,Shopping,1691.86,Expense
2021-04-09,Food Delivery,Food & Drink,1221.9,Expense
2021-04-11,Train Ticket,Travel,67.62,Expense
2021-04-11,Train Ticket,Travel,1843.86,Expense
2021-04-12,Mobile Recharge,Utilities,1741.03,Expense
2021-04-13,Clothing Purchase,Shopping,148.47,Expense
2021-04-18,Lunch Outside,Food & Drink,192.6,Expense
2021-04-19,Grocery Shopping,Shopping,845.47,Expense
2021-04-19,Gym Membership,Health & Fitness,630.16,Expense
2021-04-19,Apartment Rent,Rent,1767.85,Expense
2021-04-21,Grocery Shopping,Shopping,976.47,Expense
2021-04-23,Uber Ride,Travel,438.98,Expense
2021-04-23,Health Checkup,Health & Fitness,865.53,Expense
2021-04-24,Employer Deposit,Salary,1058.6,Expense
2021-04-27,Netflix Subscription,Entertainment,796.57,Expense
2021-04-27,Lunch Outside,Food & Drink,416.8,Expense
2021-04-27,Water Bill,Utilities,1530.68,Expense
2021-04-30,Monthly Rent,Rent,25.38,Expense
2021-05-02,Gas Bill,Utilities,267.08,Expense
2021-05-04,Movie Tickets,Entertainment,1005.52,Expense
2021-05-04,Gym Membership,Health & Fitness,153.43,Expense
2021-05-06,Cafe Visit,Food & Drink,878.08,Expense
2021-05-07,Monthly Rent,Rent,1725.6,Expense
2021-05-07,Clothing Purchase,Shopping,1421.9,Expense
2021-05-07,Apartment Rent,Rent,816.01,Expense
2021-05-10,Internet Bill,Utilities,1604.63,Expense
2021-05-11,Gym Membership,Health & Fitness,185.38,Expense
2021-05-11,Netflix Subscription,Entertainment,877.0,Expense
2021-05-12,House Rent,Rent,797.58,Expense
2021-05-14,Medical Expense,Health & Fitness,450.93,Expense
2021-05-14,House Rent,Rent,1025.86,Expense
2021-05-17,Electricity Bill,Utilities,480.18,Expense
2021-05-22,Apartment Rent,Rent,362.52,Expense
2021-05-23,Employer Deposit,Salary,933.27,Expense
2021-05-24,Monthly Salary,Salary,1365.46,Expense
2021-05-24,Medical Expense,Health & Fitness,1729.85,Expense
2021-05-24,Internet Bill,Utilities,885.13,Expense
2021-05-25,Train Ticket,Travel,1594.7,Expense
2021-05-25,Pharmacy Purchase,Health & Fitness,1019.6,Expense
2021-05-27,Monthly Salary,Salary,84.84,Expense
2021-05-27,Bus Travel,Travel,162.69,Expense
2021-05-29,House Rent,Rent,1233.87,Expense
2021-05-30,Monthly Salary,Salary,1164.86,Expense
2021-05-31,Cafe Visit,Food & Drink,904.97,Expense
2021-05-31,Gaming Purchase,Entertainment,649.84,Expense
2021-06-02,Electricity Bill,Utilities,1915.87,Expense
2021-06-02,Pharmacy Purchase,Health & Fitness,1964.95,Expense
2021-06-06,Monthly Salary,Salary,1982.06,Expense
2021-06-06,Internet Bill,Utilities,734.16,Expense
2021-06-06,Grocery Shopping,Shopping,823.45,Expense
2021-06-09,Cafe Visit,Food & Drink,1580.56,Expense
2021-06-11,Apartment Rent,Rent,666.08,Expense
2021-06-11,Clothing Purchase,Shopping,575.45,Expense
2021-06-14,Mobile Recharge,Utilities,673.39,Expense
2021-06-15,Mobile Recharge,Utilities,1834.33,Expense
2021-06-16,Clothing Purchase,Shopping,266.61,Expense
2021-06-20,Monthly Rent,Rent,626.07,Expense
2021-06-20,Gym Membership,Health & Fitness,1628.24,Expense
2021-06-22,Monthly Rent,Rent,1295.59,Expense
2021-06-23,Health Checkup,Health & Fitness,46.28,Expense
2021-06-24,Concert Ticket,Entertainment,690.05,Expense
2021-06-26,Movie Tickets,Entertainment,460.82,Expense
2021-06-28,Apartment Rent,Rent,1020.3,Expense
2021-06-28,Breakfast,Food & Drink,1327.24,Expense
2021-06-28,Internet Bill,Utilities,1198.52,Expense
2021-06-29,Breakfast,Food & Drink,827.61,Expense
2021-07-04,Gaming Purchase,Entertainment,1939.48,Expense
2021-07-04,Salary Credit,Salary,475.67,Expense
2021-07-04,Monthly Salary,Salary,1808.91,Expense
2021-07-07,Amazon Purchase,Shopping,1010.78,Expense
2021-07-09,Water Bill,Utilities,1635.61,Expense
2021-07-09,Mobile Recharge,Utilities,1747.27,Expense
2021-07-10,Apartment Rent,Rent,1425.69,Expense
2021-07-11,Monthly Rent,Rent,577.28,Expense
2021-07-11,Uber Ride,Travel,904.15,Expense
2021-07-11,Amazon Purchase,Shopping,192.51,Expense
2021-07-12,Employer Deposit,Salary,1770.41,Expense
2021-07-13,Clothing Purchase,Shopping,115.98,Expense
2021-07-14,Movie Tickets,Entertainment,778.47,Expense
2021-07-19,Monthly Rent,Rent,1679.96,Expense
2021-07-19,Mobile Recharge,Utilities,283.82,Expense
2021-07-23,Employer Deposit,Salary,1395.18,Expense
2021-07-24,Apartment Rent,Rent,47.82,Expense
2021-07-28,Water Bill,Utilities,1102.12,Expense
2021-07-29,Amazon Purchase,Shopping,231.26,Expense
2021-08-02,Train Ticket,Travel,252.48,Expense
2021-08-06,Salary Credit,Salary,134.99,Expense
2021-08-07,Employer Deposit,Salary,1197.51,Expense
2021-08-08,Cafe Visit,Food & Drink,1233.47,Expense
2021-08-09,Grocery Shopping,Shopping,382.75,Expense
2021-08-11,Medical Expense,Health & Fitness,144.68,Expense
2021-08-13,Lunch Outside,Food & Drink,787.0,Expense
2021-08-13,Amazon Purchase,Shopping,1962.27,Expense
2021-08-15,Food Delivery,Food & Drink,720.62,Expense
2021-08-18,Gym Membership,Health & Fitness,275.49,Expense
2021-08-20,Health Checkup,Health & Fitness,1628.88,Expense
2021-08-21,Mobile Recharge,Utilities,135.57,Expense
2021-08-22,Salary Credit,Salary,83.6,Expense
2021-08-23,Concert Ticket,Entertainment,1772.72,Expense
2021-08-24,Bus Travel,Travel,1035.61,Expense
2021-08-25,Employer Deposit,Salary,514.09,Expense
2021-08-27,Gaming Purchase,Entertainment,579.36,Expense
2021-08-29,Food Delivery,Food & Drink,1732.94,Expense
2021-09-05,Apartment Rent,Rent,1600.69,Expense
2021-09-06,Amazon Purchase,Shopping,1489.18,Expense
2021-09-09,Clothing Purchase,Shopping,684.68,Expense
2021-09-09,Taxi Fare,Travel,1604.28,Expense
2021-09-10,Apartment Rent,Rent,866.91,Expense
2021-09-11,Gas Bill,Utilities,1095.49,Expense
2021-09-11,Apartment Rent,Rent,662.56,Expense
2021-09-11,Monthly Salary,Salary,1209.22,Expense
2021-09-11,Employer Deposit,Salary,709.58,Expense
2021-09-16,Cafe Visit,Food & Drink,159.33,Expense
2021-09-16,Medical Expense,Health & Fitness,1031.04,Expense
2021-09-17,Mobile Recharge,Utilities,1906.05,Expense
2021-09-19,Breakfast,Food & Drink,1214.14,Expense
2021-09-19,Medical Expense,Health & Fitness,750.31,Expense
2021-09-19,Internet Bill,Utilities,1063.63,Expense
2021-09-20,Taxi Fare,Travel,506.73,Expense
2021-09-28,Apartment Rent,Rent,530.94,Expense
2021-10-01,Employer Deposit,Salary,437.0,Expense
2021-10-07,Salary Credit,Salary,408.35,Expense
2021-10-13,Pharmacy Purchase,Health & Fitness,1339.0,Expense
2021-10-13,Taxi Fare,Travel,1783.75,Expense
2021-10-16,Internet Bill,Utilities,1589.46,Expense
2021-10-20,Apartment Rent,Rent,1970.41,Expense
2021-10-21,Netflix Subscription,Entertainment,1582.84,Expense
2021-10-24,Gas Bill,Utilities,1227.78,Expense
2021-10-27,Monthly Salary,Salary,1056.13,Expense
2021-10-27,House Rent,Rent,259.4,Expense
2021-10-30,Apartment Rent,Rent,905.45,Expense
2021-11-03,Pharmacy Purchase,Health & Fitness,265.39,Expense
2021-11-04,Gas Bill,Utilities,1537.89,Expense
2021-11-05,Taxi Fare,Travel,337.67,Expense
2021-11-06,Gaming Purchase,Entertainment,698.59,Expense
2021-11-07,Taxi Fare,Travel,1693.41,Expense
2021-11-10,Train Ticket,Travel,259.09,Expense
2021-11-15,Apartment Rent,Rent,1010.12,Expense
2021-11-17,Pharmacy Purchase,Health & Fitness,1686.63,Expense
2021-11-18,Restaurant Dinner,Food & Drink,171.63,Expense
2021-11-18,Taxi Fare,Travel,1305.75,Expense
2021-11-19,Clothing Purchase,Shopping,1240.04,Expense
2021-11-21,Grocery Shopping,Shopping,601.89,Expense
2021-11-23,Monthly Salary,Salary,934.24,Expense
2021-11-26,Electricity Bill,Utilities,632.04,Expense
2021-11-27,Pharmacy Purchase,Health & Fitness,1950.99,Expense
2021-12-01,Gym Membership,Health & Fitness,491.06,Expense
2021-12-03,Mall Shopping,Shopping,504.06,Expense
2021-12-08,Internet Bill,Utilities,1628.82,Expense
2021-12-09,Medical Expense,Health & Fitness,387.77,Expense
2021-12-11,Salary Credit,Salary,56.12,Expense
2021-12-12,Monthly Salary,Salary,1933.71,Expense
2021-12-13,Gym Membership,Health & Fitness,106.83,Expense
2021-12-13,Monthly Salary,Salary,578.64,Expense
2021-12-16,Pharmacy Purchase,Health & Fitness,100.03,Expense
2021-12-20,House Rent,Rent,778.83,Expense
2021-12-20,Uber Ride,Travel,1652.37,Expense
2021-12-23,Apartment Rent,Rent,266.04,Expense
2021-12-26,Health Checkup,Health & Fitness,1512.38,Expense
2022-01-01,Employer Deposit,Salary,1043.47,Expense
2022-01-03,Pharmacy Purchase,Health & Fitness,333.38,Expense
2022-01-03,Taxi Fare,Travel,1191.51,Expense
2022-01-04,Salary Credit,Salary,1420.39,Expense
2022-01-05,Lunch Outside,Food & Drink,743.03,Expense
2022-01-06,Amazon Purchase,Shopping,1171.57,Expense
2022-01-08,Lunch Outside,Food & Drink,1197.85,Expense
2022-01-09,Netflix Subscription,Entertainment,1445.59,Expense
2022-01-13,Electricity Bill,Utilities,1053.22,Expense
2022-01-13,Clothing Purchase,Shopping,304.07,Expense
2022-01-14,Food Delivery,Food & Drink,1149.41,Expense
